accommodation_id,description,phone,price,status
971,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",782-652-1034,12533,OPEN
972,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,502-458-1809,58863,OPEN
974,Donec dapibus.,630-629-9921,92609,OPEN
976,Integer ac neque.,645-773-1195,52607,OPEN
980,Donec semper sapien a libero.,840-595-2460,149420,OPEN
983,Curabitur gravida nisi at nibh.,505-334-6108,3439,CLOSED
988,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,115-612-7621,196226,OPEN
990,Morbi porttitor lorem id ligula.,982-968-1479,171652,OPEN
992,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",183-376-9904,184574,OPEN
1000,Donec dapibus. Duis at velit eu est congue elementum.,573-622-8999,71226,OPEN
